category,date,description_text,likes,num_reviews,review_score,title,user_name,views
Universal Fit,"Dec 14, 2017",Rhapsodio hybrid IEM with 8 balanced armatures and dynamic driver,1,5.0,4.6,Rhapsodio RDB MK 8 Zombie In-Ear Monitor,SeeSax,10K
Wireless,"Dec 14, 2017",Macaw T50 CSR Bluetooth 4.1 Wireless Music Sports In-ear Earphones,0,1.0,4,Macaw T50,crabdog,4K
Universal Fit,"Dec 14, 2017",The Elements C-12 was one of the best earphones in the country in its class. The new C-12 Version 2.0 is even better. It deliver astounding...,0,1.0,4,Signature Acoustics Elements C-12 version 2.0,suman134,2K
Over-Ear,"Dec 14, 2017","Focal's new dynamic-driver headphones, rated at 55 ohms.",0,6.0,4.8,Focal Clear,Aornic,36K
Earbuds,"Dec 13, 2017",A limited-run earbud from Kinera featuring a single dynamic driver.,0,4.0,4,Kinera Earbud,Cinder,6K
Universal Fit,"Dec 12, 2017","Drivers Configuration: 5 Balanced Armature Drivers
Sensitivity: 112 dB @ 1k Hz
DCR: 20 Ohm Nominal
Frequency: 20Hz – 20kHz",0,1.0,5,Eternal Melody EM-5,audio123,5K
Custom,"Dec 12, 2017",The newest CIEM from Eartech Music is the Hex with 6 drivers to give amazing BASS and overall clarity.  It was made with performing musicians in mind.,0,1.0,5,Eartech Music Hex 6-driver Custom IEM,tex thai,4K
In-Ear,"Dec 10, 2017",Budget dual driver earphones with microphone; excellent bargain!,0,1.0,5,BlitzWolf BW-VOX1 earphones,Jesus Follower Daniel S,4K
In-Ear,"Dec 10, 2017",In ear earphone with 1 BA and 1 DD,0,1.0,4,Magaosi K3 HD Pro,ExpatinJapan,4K
Over-Ear,"Dec 26, 2017",Open-Air Dynamic Headphones,0,5.0,4.5,Audio-Technica ATH-ADX5000,earfonia,33K
Universal Fit,"Dec 25, 2017",Singe balanced armature IEM from High-end Chinese manufacturer qdc,0,2.0,4.5,qdc Neptune,Bina,17K
Over-Ear,"Dec 25, 2017","Diana is all about style, and sound. She's someone you like to have around. Designed for the person who appreciates the finest.",0,2.0,5,Abyss Headphones Diana,FastAndClean,8K
Noise-Canceling,"Dec 23, 2017","In-Ear Wired ANC Earphones with 28dB Noise Reduction, Awareness Monitor Mode, Built-in Mic and Remote Control, 3.5mm Jack, 20 Hours Playtime",0,1.0,4.5,DECOKA DK100,crabdog,3K
Universal Fit,"Dec 23, 2017",Westone (new) UM Pro 10 single Balanced Armature universal fit in-ear monitor,0,1.0,4.5,Westone (new) UM Pro 10,HiFiChris,14K
Noise-Canceling,"Dec 21, 2017",Pitch Black Active Noise Cancelling Technology provides complete silence and luscious bass in the most noisy environment.,1,3.0,4.3,Advanced 747 Active Noise-Cancelling In-ear Monitors,ryanjsoo,7K
Headphones,"Dec 19, 2017","Product Features:
HF2010 is a professional semi-open hi-fi headphones, the perfect combination of the characteristics of open and closed-end...",0,1.0,5,ISK HF-2010 Semi-Open Monitor Headphones,NymPHONOmaniac,5K
Universal Fit,"Dec 18, 2017","[ATTACH] 

HYBRID DUAL-DRIVER TECHNOLOGY
Combining a moving coil subwoofer with a balanced armature tweeter, the M7 PRO delivers deep bass, superb...",0,0.0,0,MEE Audio M7 Pro Hybrid Dual Driver In-Ear Monitor,rantng,2K
Earbuds,"Dec 18, 2017","Our middle child earbud is very much a lonely kid, a misfit in this world of bass-emphasis, but it can shine with vocal and orchestral recordings.",0,1.0,4,Venture Electronics Asura 2.0S,ryanjsoo,3K
Wireless,"Dec 18, 2017","Crabot C5 Bluetooth Headphones Over Ear, Designed for Musical Enjoyment
[IMG]

Crabot is a headset brand born in 2016, we are focused on...",0,0.0,0,Crabot C5,alex2750,1K
Wireless,"Dec 18, 2017","Crabot C3 Bluetooth Headphones, True-to-life Sound around Your Ear
[IMG]
Crabot is a headset brand born in 2016, we are focused on designing,...",0,1.0,3.5,Crabot C3,alex2750,2K
Universal Fit,"Dec 17, 2017",Univeral fit 5 BA in-ear monitors.,0,3.0,3.8,Magaosi K5,Wiljen,27K
Earbuds,"Dec 17, 2017",NICEHCK DIY MX500 PK1 Earbud,0,1.0,4,2017 New NICEHCK DIY MX500 PK1 Earbud,hellfire8888,4K
Custom,"Dec 17, 2017",Dual-driver custom IEM,0,1.0,5,Avara Custom AV2,Deezel177,6K
Wireless,"Dec 17, 2017",Bluetooth Headphone,0,4.0,4.5,M&O MOOH-BE00BT - Beryllium Acoustic,kman1211,6K
In-Ear,"Jan 9, 2018",iFrogz Chromatix Earbuds with Single Button Remote and Microphone,0,1.0,3.5,iFrogz Chromatix Earbuds,NeonHD,1K
Universal Fit,"Jan 9, 2018","Saturn is made with an 11mm dynamic driver with titanium diaphragm, focusing on providing deep bass and high clarity with excellent layering that...",0,4.0,4.4,Rhapsodio Saturn,narco dacunzolo,6K
Noise-Canceling,"Jan 9, 2018","Active Noise Cancelling, Bluetooth headphone",0,1.0,4,iDeaUSA V201,crabdog,6K
Over-Ear,"Jan 9, 2018",The new audiophile standard for closed-back headphones,0,2.0,4,Sennheiser HD 820,FastAndClean,5K
Sport,"Jan 5, 2018",Bluetooth Fitness Earphones,0,1.0,5,Smartomi WIT,bpandbass,3K
In-Ear,"Jan 5, 2018",12 BA,0,2.0,5,Aroma Musical Box Yao,narco dacunzolo,5K
Noise-Canceling,"Jan 4, 2018",The first audiophile quality multi-driver ANC headphone offers superior sound quality with a wider range ANC and the convenience of MFi Lightning...,0,1.0,4,1MORE Dual Driver Active Noise Cancelling (ANC) In-Ear Headphones w/Lightning Connector,ryanjsoo,4K
Universal Fit,"Jan 4, 2018",DUNU's Dynamic Flagship IEM with CNT (Carbon Nanotubes) Diaphragm Technology,2,12.0,4.2,DUNU Falcon-C,Moonstar,31K
Universal Fit,"Jan 3, 2018","Driver Configuration: 1 Balanced Armature + 1 Dynamic
Frequency Response: 20 Hz – 20kHz
Sensitivity: 100 dB
Impedance: 10 ohms",0,2.0,4.8,Aroma Musical Box Early,audio123,6K
Universal Fit,"Jan 1, 2018","Designed for producers and studio engineers, S2 is perfect for professional recording and mixing at a fraction of the price of most other brands,...",0,3.0,4,Accutone Studio S2,ostewart,4K
Noise-Canceling,"Dec 31, 2017","[IMG][IMG][IMG]
Reviews",0,1.0,2.5,Doss ANC BE2 Active Noise Cancelling Bluetooth Headphones,alex2750,2K
Sport,"Dec 31, 2017",Bluetooth headphones from Xiaomi destined for Sport activities,0,1.0,4.5,Xiaomi Wireless Bluetooth 4.1 Music Sport Earbuds,kiler,9K
Universal Fit,"Dec 28, 2017","Manufacturers description:

The earphones is small enough to put into any pocket and carry it to anywhere. The well-designed earbuds which can let...",0,1.0,2.5,Mogco M10,Wiljen,1K
Universal Fit,"Dec 27, 2017","Combining latest techs and years of sound engineering experience, Ce-5 fuses an ergonomically designed resin chamber. You will hear unparalleled...",1,4.0,4.3,HYLA CE-5,ryanjsoo,13K
Universal Fit,"Dec 27, 2017",Audiophile Ear Canal Headphones,1,5.0,4.7,Sennheiser IE 800 S,twister6,28K
Universal Fit,"Jan 18, 2018","Specifications

Drivers Configuration: 2 Balanced Armature Drivers + 1 Dynamic Driver (7mm)
Frequency Response: 10Hz-20kHz
Impedance: 10 ohm...",0,6.0,4,LEAR Kaleido,audio123,10K
Universal Fit,"Jan 17, 2018","InChor Premium Genuine Wood Wired Earphones
[IMG]
3.5mm Cold Plated Copper Plug
[IMG]
The wooden earphone with its unique acoustical properties...",0,1.0,2,InChor M0 Wood Earbuds,alex2750,1K
Universal Fit,"Jan 17, 2018",2x BA IEM from NS Audio.,1,3.0,4,NS Audio NS-2 Composer,Cinder,4K
In-Ear,"Jan 17, 2018","2x BA, 1x DD configuration IEM from KZ feature translucent shells and an improved ergonomic design.",1,1.0,4.5,KZ ZSR,Cinder,10K
Earbuds,"Jan 16, 2018",The Dream earbud is a low impedance earbud of the company HiFi BOY,1,6.0,3.7,HiFi BOY Dream,Moonstar,9K
Universal Fit,"Jan 16, 2018","Equipped with dual magnetic two-way graphene driver, the Pro shows greatly enhanced transience and resolution.",2,5.0,3.9,TFZ King Pro,ryanjsoo,25K
Universal Fit,"Jan 16, 2018","Single BA Jomo in-ear with no crossover, no phase cancellation. Just powerful and coherent pure sound.",1,5.0,4.2,Jomo Haka,ryanjsoo,6K
Noise-Canceling,"Jan 13, 2018",Bluetooth Noise-Cancelling In-Ear Headphones,0,1.0,5,Smartomi MOTTO,bpandbass,2K
Wireless,"Jan 13, 2018","SPECIFICATIONS

Weight - 49g (3.9g of each earpiece)
Dimensions - 20W x 16H x 24D (mm), 75W x 33H x 32D (mm)
Bluetooth version - Bluetooth 4.2...",0,0.0,0,Zeus T1 Wireless Earbuds Bluetooth Earphones,theoutsider,2K
Earbuds,"Jan 13, 2018","Specifications:
Brand: BGVP
Mode: DX3
Driver Unit"" 15mm Graphene Dynamic Driver Unit
Frequency: 15Hz-40000Hz
Power Rate: 5mW
Cable: 1.2m±10% (5N...",0,0.0,0,BGVP DX3 Graphene Earphone/ Earbud with MMCX Detachable Cable,theoutsider,2K
Over-Ear,"Jan 12, 2018","Dynamic closed-back headphones specifically tailored
to DJs’ needs.",1,1.0,5,Ultrasone Signature DXP,Dobrescu George,3K
Wireless,"Jan 12, 2018",Truly wireless earphones,0,1.0,4,Optoma NuForce BE Free8,B9Scrambler,6K
Earbuds,"Jan 12, 2018","Penon BS1 Official Version 

Metal shell, metal mesh
Black carbon fiber alloy splitter, alloy slider
Sound signature: Impactful Bass ,Sweet Vocals...",1,7.0,4.6,Penon BS1 Official Version,audio123,18K
Over-Ear,"Jan 12, 2018","The Monolith M1060C planar headphones are the perfect way to experience your music collection. Based on the M1060, the M1060C features a 106mm...",2,0.0,0,Monolith M1060C Closed Back Planar Headphones,FastAndClean,4K
Over-Ear,"Jan 10, 2018","Open-back, over-ear, planar magnetic headphones",2,4.0,4.3,ADVANCED Alpha,B9Scrambler,16K
Headphones,"Jan 29, 2018",Large sound stage and beautiful female vocal,0,1.0,4,ATH AD1000x,wu6u3,2K
Wireless,"Jan 27, 2018",Blueooth earphones with AAC support,0,1.0,3.5,Optoma Nuforce BE2,B9Scrambler,5K
Universal Fit,"Jan 26, 2018","There are levels of quality and levels of demand, but none of them are as high as the actual features and performance of this 10-driver In-Ear.",0,4.0,4.8,Clear Tune Monitors Da Vinci X,Cinder,6K
Universal Fit,"Jan 26, 2018",The Da Vinci IX raises the sound quality bar even higher by combining 9 balanced armature drivers into 3 discrete sound paths with our Wave...,0,3.0,4.5,Clear Tune Monitors Da Vinci IX,Cinder,3K
Universal Fit,"Jan 26, 2018","Custom-tuned, energetic and dynamic sound meets the truly ergonomic design with secure and comfortable fit.

1xDD IEM",1,3.0,4.2,Advanced Sound S2000,Cinder,9K
In-Ear,"Jan 24, 2018",1+1 hybrid earphone with filtered tuning system,0,1.0,3,HiLisening HLS-S8,B9Scrambler,3K
Universal Fit,"Jan 24, 2018","Model
FiiO FH1 Pro
Approx price
$75 USD
Type
Dual Driver Hybrid
Driver DD
1 x 10mm Titanium DD
Driver BA
1 x Knowles 33518 BA
Freq Range
20Hz –...",2,4.0,4.6,FiiO FH1 Dual Hybrid IEM,Brooko,38K
Headphones,"Jan 23, 2018",Grado PS2000e headphones are the new flagship of the Grado lone.,0,0.0,0,Grado PS2000e,seamon,717
Universal Fit,"Jan 22, 2018","The Mentor V3 and Mason V3 are 4-way, 5-bore design with 4 sound tubes and 1 bore designed for tuning module. The Module provides acoustic...",0,3.0,4.5,Unique Melody Mentor V3,Cotnijoe,9K
Universal Fit,"Jan 22, 2018","The Mentor V3 and Mason V3 are 4-way, 5-bore design with 4 sound tubes and 1 bore designed for tuning module. The Module provides acoustic...",0,14.0,4.5,Unique Melody Mason V3,Cotnijoe,20K
Universal Fit,"Jan 22, 2018","Description

Driver: 1 dynamic driver + 4 balanced armature
Sensitivity: 105±dB
Impedance: 16Ω
Frequency range: 8-36000Hz THD
Total harmonic...",1,7.0,4.1,LZ A5,audio123,14K
In-Ear,"Jan 20, 2018","Oomo wired in-ear with 3 cavity, 5 channel Acoustic structure. Equipped with single button mic remote.",0,1.0,3,Oomo 3D Immersive Earphones,jant71,3K
Universal Fit,"Jan 20, 2018",6ba IEM FROM VERUS AUDIO COMPANY,0,1.0,4,VERUS AUDIO 6BA,narco dacunzolo,2K
Over-Ear,"Jan 18, 2018","Based on the M1060, the M565C features a 66mm planar driver, earpads made of faux leather and a padded headband.",5,1.0,5,Monolith M565C Closed Back Planar Headphones,AJZ0,4K
Custom,"Jan 18, 2018","Born Again
We have re-engineered our single driver In-Ear Monitor to take advantage of the latest technology available. Featuring our patent...",0,1.0,4.5,ACS Evoke Custom IEM,crabdog,6K
Universal Fit,"Feb 1, 2018","Impendence: 16Ω

Driver diameter: 9mm

Diaphragm material: PET / Ti composite material
Rated power: 10mW
Sensitivity: ≥95dB (@ 1kHz)
Frequency...",0,6.0,3.8,Hypersense  HEX02,Cinder,4K
Earbuds,"Feb 1, 2018","Specification:                                                                                                             
 
 1. Product Name:...",0,1.0,4,DQSM Z&W Panda PK2s Earbuds,NymPHONOmaniac,8K
Earbuds,"Feb 1, 2018","Specification:                                                                                                             
 
 1. Product Name:...",0,1.0,3.5,Moondrop Nameless metal earbuds,NymPHONOmaniac,8K
In-Ear,"Feb 1, 2018","Specification:                                                                                                 
  1.  Product Name: Zhiyin Z5000...",1,2.0,4.5,ZHIYIN Z5000 Tesla Drivers Earphones,NymPHONOmaniac,11K
Universal Fit,"Feb 1, 2018","Compact, Comfortable Design. Robust Aluminium Construction. Universal Remote & Microphone. Clean, Good Bass & Wide Soundstage Sound.",0,6.0,3.6,LYPERTEK MEVI,ryanjsoo,5K
Universal Fit,"Feb 1, 2018",Triple Driver Hybrid - 2 BA and 10mm Dynamic Driver,0,6.0,4.3,KZ - Zsr,Wiljen,18K
Universal Fit,"Feb 1, 2018","The ER3SE Studio Edition provides a high level of sensitivity, making it a perfect match for the portable media players on the market today. The...",0,3.0,4.8,Etymotic ER3XR,HiFiChris,20K
Headphones,"Jan 31, 2018","One of the most well known, and greatly lauded replacement driver for Grado headphones , is the Symphones (previously Magnum) line of drivers, now...",1,2.0,4.5,Symphones V8 Drivers for Grado,TravAndAlex,5K
Wireless,"Jan 31, 2018",Wireless Sport Earphones,0,1.0,4,Bingle Fb60,Wiljen,3K
Wireless,"Jan 31, 2018",Bluetooth Sport Earbuds,0,1.0,3,Ovevo Q62,Wiljen,5K
Universal Fit,"Jan 31, 2018",dual dynamic Driver in ear headphone,0,1.0,3,UiiSii ba-T8,Wiljen,5K
Universal Fit,"Jan 31, 2018",Russian-made single-BA IEM with a prominent bass,0,1.0,4.5,Myst Nail 2,mgunin,2K
In-Ear,"Jan 31, 2018",Magnetic Sports Bluetooth Earphones,0,1.0,4,QCY M1 Pro,winslord,6K
In-Ear,"Jan 30, 2018","Copied from the Amazon page:

8mm high-performance micro speaker
Tangle-free, durable fabric cable and REWIND fabric carry case composed of...",0,1.0,3,House of Marley EM-JE030-DR Uplift Drift In-Ear Headphones,NeonHD,1K
In-Ear,"Jan 29, 2018","Trio is the second hybrid iem after fourte with 1 dynamic driver mid low, 1 Tia high and 1 high mid and with special design on the shell which is...",1,3.0,4.8,64 Audio Tia Trió,jadchan,10K
Custom,"Feb 15, 2018","A revelation in balance and details, space and dynamics.
The SA-50 has some of the greatest speakers available today, all of which are tuned and...",0,1.0,4.5,M-Fidelity SA-50,crabdog,2K
Universal Fit,"Feb 13, 2018",A triple-BA IEM with a neutral sound,0,3.0,4.3,Massdrop x NuForce EDC3,Cinder,24K
Over-Ear,"Feb 12, 2018","High-grade monitor headphones that deliver a balanced sound faithful to the source. Perfect for in the studio, music production at home, or for...",0,1.0,1,Yamaha HPH-MT5,ahunatu,5K
Universal Fit,"Feb 12, 2018","Monk IE Biggie is the cousin of the Monk family of earbuds; cousin, because it is in In-Ear form this time.",0,1.0,2,Venture Electronics Monk IE Biggie,dheepak10,4K
In-Ear,"Feb 11, 2018",New flagship IEM from Thinksound,0,2.0,4.3,Thinksound USP1,Dsnuts,4K
Wireless,"Feb 11, 2018","Main Features:
● Built-in 1050mAh Li-ion battery can play for 50 hours
● N45 strong magnetic rubidium iron drive 40mm large-aperture driver unit...",0,1.0,4.5,Mifo F2 Bluetooth Headset,Viber,4K
Noise-Canceling,"Feb 10, 2018",High-end wireless full-size headphone featuring APtX-HD and LDAC codec support and active noise cancelling.,2,1.0,5,Sony WH1000XM2,Peddler,17K
Universal Fit,"Feb 10, 2018",Single Balanced Armature IEM,0,1.0,4,Binary Acoustics EP1,theoutsider,2K
Earbuds,"Feb 9, 2018","[ATTACH] 

Driver unit:15mm  High quality speaker unit
Impedance:32Ω±15%
Frequency response:20-20000HZ
Sensitivity:95dB±3dB
Plug type:3.5 mm
Cable...",1,1.0,4.5,RY4S (Braided Cable),SweetEars,6K
In-Ear,"Feb 8, 2018",Empire Ears 7-driver hybrid Legend X IEM,1,8.0,4.9,Empire Ears Legend X,twister6,28K
Universal Fit,"Feb 8, 2018",TFZ TEQUILA1 HiFi In-ear Earphones,0,5.0,4.2,TFZ TEQUILA1 IEM,Moonstar,12K
Over-Ear,"Feb 7, 2018",,1,1.0,4,Grado PS 2000E,Mshenay,4K
Universal Fit,"Feb 5, 2018","https://www.head-fi.org/threads/introducing-the-lear-luf-ba1-universal-fit-in-ear-monitor.854272/

[IMG]

The Perfect Combination of Technology...",0,1.0,2.5,LEAR LUF-BA1,HiFiChris,2K
Headphones,"Feb 2, 2018",Wireless/Wired Headphones,0,2.0,2.8,Edifier W800BT,genclaymore,10K
In-Ear,"Feb 2, 2018","FIBAE 3 is a triple-driver mid-level IEM utilizing the world’s first Flat Impedance design (patent pending). Featuring single proprietary sub-low,...",0,5.0,4.9,Custom Art FIBAE 3,subguy812,10K
Universal Fit,"Feb 24, 2018","TECHNICAL SPECS:


7 BA drivers per ear

3 sound bores

5-way passive crossover

Frequency Response: 10Hz – 22kHz

Sensivity (50Hz):...",0,1.0,4.5,AMBIENT ACOUSTICS LAM7-U,narco dacunzolo,2K
Custom,"Feb 21, 2018",Fully custom tailored CIEM by Sony,0,0.0,0,Just ear XJE-MH1,nanaholic,3K
Universal Fit,"Feb 20, 2018",iBasso's leap into 4 driver IEM's with 3 balanced drivers and 1 dynamic driver,0,8.0,4.9,iBasso IT04,icefalkon,28K
Custom,"Feb 20, 2018","The Prelude is Warbler Audio's debut custom in-ear monitor. Sporting a single balanced-armature driver with a number of unique in-house tweaks,...",0,2.0,5,Warbler Audio Prelude,Deezel177,6K
In-Ear,"Feb 20, 2018","Actionpie BS1 specs
Ohms- 8
Driver units- 6.0mm dual drivers
Sensitivity- 110 dB 
Frequency response- 20-24,000 hz 
Max power- 20mw
Distortion- 1%...",0,1.0,3,Actionpie BS1,Angelo1985,5K
Headphones,"Feb 19, 2018","Unmistakably Campfire Audio Sound
42mm Beryllium PVD Diaphragm Dynamic Drivers
Aluminum and Stainless Steel Construction",0,14.0,4.5,Campfire Audio CASCADE,Hawaiibadboy,36K
In-Ear,"Feb 18, 2018",,0,1.0,2,LZ Z03A,Earphone KIng,1K
In-Ear,"Feb 18, 2018",,0,1.0,4,KZ ED2,Earphone KIng,4K
In-Ear,"Feb 18, 2018",,0,1.0,4,Remax RM-610D,Earphone KIng,4K
In-Ear,"Feb 18, 2018",,0,1.0,4,Tennmak Dulcimer,Earphone KIng,2K
In-Ear,"Feb 18, 2018",,0,1.0,5,Einsear T2,Earphone KIng,5K
In-Ear,"Feb 18, 2018",,0,1.0,5,QKZ DM7,Earphone KIng,9K
Over-Ear,"Feb 17, 2018",Over-Ear Portable which folds into included hard carrying case,0,2.0,3.8,1MORE TRIPLE DRIVER OVER-EAR HEADPHONES,cash1489,8K
Over-Ear,"Feb 17, 2018","The ATH-DSR9BT over-ear wireless headphones employ Audio-Technica’s new Pure Digital Drive system, which allows the headphones to operate without...",0,1.0,4,ATH-DSR9BT,KinGensai,5K
Headphones,"Feb 17, 2018","Nuraphone - Hear every note. Feel every beat
Headphones re-invented. In + over (Inova) ear configuration. 
Headphones that automatically...",0,2.0,4.5,nura nuraphone,iems0nly,39K
Universal Fit,"Mar 10, 2018","Kinera SEED is the Yin (Black) of the two part product of the company, Yin-Yang. Launched early 2018, the Kinera SEED promised a neutral sound...",2,7.0,3.9,Kinera SEED,dheepak10,17K
In-Ear,"Mar 9, 2018",1DD+1BA Hybrid IEM: The sensible middle-child,0,2.0,4.5,Knowledge Zenith ES3,DocHoliday,3K
Custom,"Mar 8, 2018","1 tia™ high, 1 high-mid, 6 mid, 4 low",0,0.0,0,64 Audio A12t,pithyginger63,2K
In-Ear,"Mar 8, 2018","Brand: JBM
Model: MJ8600
Material: Plastic + aluminum alloy
Microphone: No
Earphones Type: In-Ear Earphones
Headphone Jack: 3.5mm
Impedance:...",0,1.0,4,JBM MJ8600,NeonHD,2K
Universal Fit,"Mar 7, 2018","Missing from the audio scene from quite a while, the original creator / sound engineer behind the K3 Pro is now back again to say hello to all...",1,2.0,5,Audbos P4,suman134,14K
Headphones,"Mar 6, 2018",Bluetooth Headset from Smartomi.,0,1.0,4,Smartomi HOOP,Niyologist,1K
Universal Fit,"Mar 5, 2018","Transducer : Φ10mm Single Dynamic Driver
Impedance : 32Ω
Sound Pressure Level : 110dB/mW
Frequency Range : 10Hz～25KHz
Cable : MMCX Re-cable,...",0,1.0,4,Acoustune HS1503 AL,audio123,4K
Universal Fit,"Mar 5, 2018",A highly ergonic IEM from Audio Genetic. It makes use of high-quality CIEM materials for its shells. Each shell holds five balanced armature...,0,0.0,0,Audio Genetic AG5,Cinder,1K
Universal Fit,"Mar 5, 2018",Tin Audio T1 Dynamic Driver HiFi In-ear Earphone with Mic & Remote Control,0,6.0,3.8,Tin Audio T1,Moonstar,8K
Over-Ear,"Mar 4, 2018","High-quality sound reproduction with 40.0mm driver unit
Rich bass sound with Deep bass port
2.5m tangle-free long cord
Comfortable soft ear pad...",0,1.0,4,JVC HA-RX330,genclaymore,7K
Universal Fit,"Mar 3, 2018",Dual balanced armature earphone,0,2.0,4.5,EARNiNE EN2J,B9Scrambler,5K
Universal Fit,"Mar 2, 2018",Midrange Rose Mini earphone featuring 4x BA drivers.,0,1.0,4.5,Rose Technics Mini 4,ryanjsoo,5K
Over-Ear,"Feb 28, 2018","With newly designed drivers and in-line mic and control, the ATH-WS1100iS Solid Bass over-ear headphones give you portable, smartphone-compatible...",0,3.0,4.2,Audio-Technica ATH-WS1100iS,ahunatu,11K
Universal Fit,"Feb 28, 2018","Features: 

Attractive Die cast Metal Housing 
Custom tuned 6mm micro dynamic driver 
Balanced Sound signature with a hint of warmth 
4 core...",0,5.0,4.3,Alpha & Delta D3,audio123,8K
In-Ear,"Feb 27, 2018","3D-U AARO is the next-generation version of the revolutionary 3D Active Ambient IEM System, the only tour-proven Active Ambient system on the...",0,1.0,5,Sensaphonics 3D-U AARO System - 3D-2,moedawg140,3K
Headphones,"Mar 17, 2018","Technics RP-F3 (circa 1990)

A digital monitor headphone with a sound control function that can alternate between REF (reference) position which...",0,0.0,0,Technics RP-F3,GREQ,767
Universal Fit,"Mar 15, 2018",NiceHCK HC5 is a Universal In-Ear Monitor with 5 Balance Armature Drivers in a Custom like Universal Shell,0,1.0,4,NiceHCK HC5 In-Ear Monitor,Moonstar,5K
Universal Fit,"Mar 14, 2018","To allow more people enjoy high quality earphones made in Hong Kong, we have launched the brand new dual dynamic driver in ear monitor which 100%...",0,1.0,4,Lear LUF-Turbo,ostewart,4K
Headphones,"Mar 14, 2018",Updated version of a single-DD model with tunable bass,0,1.0,5,Lear LHF-AE1d MKII,mgunin,2K
In-Ear,"Mar 13, 2018",Still crazy after all these years!,0,0.0,0,VJJB K4 in-ear monitor,DocHoliday,1K
In-Ear,"Mar 13, 2018",Classically Colorful KZ's!,0,1.0,4.5,KZ ED10 (Knowledge Zenith),DocHoliday,2K
In-Ear,"Mar 13, 2018",You know my name.,0,1.0,5,"Knowledge Zenith ED3 ""Perfection""",DocHoliday,4K
